SkyJet FLVY5711%4650.31
AirNova FLTT3968%5237.71
CloudRunner FLCE1745%4992.96
JetStream FLQQ6243%4454.50
FalconAir FLGM9888%4307.65
NimbusFly FLGU3626%4748.21
AeroSwift FLYA6865%5237.71
StarFlight FLTX1970%4258.70
BlueHawk FLFU5487%4895.06
SunWings FLPA6531%4209.75
EagleJet FLRC8991%4944.01
CometAir FLVY2480%4650.31
OrbitFly FLFQ4212%4307.65
ZenithAir FLZX1214%5237.71
TurboSky FLRU2551%4944.01
SkyPulse FLBW8491%4601.36
AirQuest FLLC2765%4601.36
NovaJet FLAN4372%4356.60
JetNova FLPP1566%4454.50
SkyCruiser FLFR6979%5237.71
CloudXpress FLAL7032%4992.96
AirBolt FLSL4061%4160.80
JetFusion FLKH9834%4650.31
SkyLoom FLLP4375%4160.80
NimbusOne FLYD2270%5384.56
AeroLink FLXX1880%5237.71
StarJet FLVT9119%4895.06
BlueNova FLXS5743%5629.32
SunBird FLOQ4297%4209.75
FalconX FLEK1158%4944.01
