SkyJet FLKQ7565%4931.05
AirNova FLAS1449%4116.75
CloudRunner FLLL7935%4840.57
JetStream FLWP6083%4659.62
FalconAir FLPV6858%4614.38
NimbusFly FLPY3892%4207.23
AeroSwift FLLS3811%4840.57
StarFlight FLSN7180%4433.42
BlueHawk FLQH2356%4795.33
SunWings FLES9797%4976.29
EagleJet FLSF9631%4840.57
CometAir FLZN1526%4840.57
OrbitFly FLBS7153%4795.33
ZenithAir FLDC7800%3890.55
TurboSky FLDC9930%5066.77
SkyPulse FLSP1720%4523.90
AirQuest FLHR6894%5112.01
NovaJet FLOZ3387%4659.62
JetNova FLKO7637%4795.33
SkyCruiser FLZD6553%3981.03
CloudXpress FLLW6465%4342.94
AirBolt FLZO2578%4252.47
JetFusion FLTH7764%4750.09
SkyLoom FLSP2699%4161.99
NimbusOne FLAR4676%4795.33
AeroLink FLDM4618%4252.47
StarJet FLNT1094%4523.90
BlueNova FLGR2395%4795.33
SunBird FLLP4955%3935.79
FalconX FLKS3662%5112.01
